ID	msms_raw	date	station	depth_(cm)	layer	decay_roots
MM_81	81_4c3uL.raw	18.06.2018	SN	0-1	top	after
MM_82	82_5c5uL.raw	18.06.2018	SN	2-3	upper middle	after
MM_83	83_7c2uL.raw	18.06.2018	SN	4-5	lower middle	after
MM_84	84_6c8uL.raw	18.06.2018	SN	7-8	bottom	after
MM_85	85_7c2uL.raw	18.06.2018	SCy	0-1	top	after
MM_86	86_7c3uL.raw	18.06.2018	SCy	2-3	upper middle	after
MM_87	87_6c7uL.raw	18.06.2018	SCy	4-5	lower middle	after
MM_88	88_6c0uL.raw	18.06.2018	SCy	7-8	bottom	after
MM_89	89_5c1uL.raw	09.07.2018	SN	0-1	top	after
MM_90	90_4c4uL.raw	09.07.2018	SN	2-3	upper middle	after
MM_91	91_4c7uL.raw	09.07.2018	SN	4-5	lower middle	after
MM_92	92_8c3uL.raw	09.07.2018	SN	7-8	bottom	after
MM_93	93_5c8uL.raw	09.07.2018	SCy	0-1	top	after
MM_94	94_6c2uL.raw	09.07.2018	SCy	2-3	upper middle	after
MM_95	95_8c1uL.raw	09.07.2018	SCy	4-5	lower middle	after
MM_96	96_8c6uL.raw	09.07.2018	SCy	7-8	bottom	after
MM_97	97_4c7uL.raw	08.08.2018	SN	0-1	top	after
MM_98	98_6c9uL.raw	08.08.2018	SN	2-3	upper middle	after
MM_99	99_4c4uL.raw	08.08.2018	SN	4-5	lower middle	after
MM_100	100_7c3uL.raw	08.08.2018	SN	7-8	bottom	after
MM_101	101_4c6uL.raw	08.08.2018	SCy	0-1	top	after
MM_102	102_3c6uL.raw	08.08.2018	SCy	2-3	upper middle	after
MM_103	103_6c0uL.raw	08.08.2018	SCy	4-5	lower middle	after
MM_104	104_14c7uL.raw	08.08.2018	SCy	7-8	bottom	after
MM_105	105_9c4uL.raw	03.09.2018	SN	0-1	top	after
MM_106	106_12c3uL.raw	03.09.2018	SN	2-3	upper middle	after
MM_107	107_20c7uL.raw	03.09.2018	SN	4-5	lower middle	after
MM_108	108_18c0uL.raw	03.09.2018	SN	7-8	bottom	after
MM_109	109_4c6uL.raw	03.09.2018	SCy	0-1	top	after
MM_110	110_5c4uL.raw	03.09.2018	SCy	2-3	upper middle	after
MM_111	111_7c0uL.raw	03.09.2018	SCy	4-5	lower middle	after
MM_112	112_5c2uL.raw	03.09.2018	SCy	7-8	bottom	after
MM_113	113_6c0uL.raw	04.10.2018	SN	0-1	top	after
MM_114	114_9c6uL.raw	04.10.2018	SN	2-3	upper middle	after
MM_115	115_20c9uL.raw	04.10.2018	SN	4-5	lower middle	after
MM_116	116_11c6uL.raw	04.10.2018	SN	7-8	bottom	after
MM_117	117_7c5uL.raw	04.10.2018	SCy	0-1	top	after
MM_118	118_4c9uL.raw	04.10.2018	SCy	2-3	upper middle	after
MM_119	119_7c8uL.raw	04.10.2018	SCy	4-5	lower middle	after
MM_120	120_8c9uL.raw	04.10.2018	SCy	7-8	bottom	after
